Key,Type,Desc,English,French,German,Spanish,Japanese,Korean,Chinese (Simplified),Russian,Traditional Chinese,Turkish,Italian,Portuguese (Brazil)
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_49,Text,NEW,"In the Krusty Krab job, complete the Chum Bucket first","Dans la mission Crabe Croustillant, terminez le Seau de l'enfer en premier",Schließe beim Krosse-Krabbe-Job den Abfalleimer zuerst ab,"En el trabajo del Crustáceo Crujiente, limpia primero el Cubo de Cebo.",カニカーニの作業で、エサバケツ亭を最初に洗浄する,집게리아 작업에서 플랑크톤 상점을 제일 먼저 세척,在蟹堡王的工作中，先完成净海之霸。,В задании в «Красти Краб» отмойте «Помойное Ведро» в первую очередь,在蟹堡王的工作中，先完成「海之霸」,Yengeç Restoran işinde ilk önce Yem Kovası'nı tamamla,"Nel lavoro al Krusty Krab, completa prima il Chum Bucket","No trabalho do Siri Cascudo, conclua o Balde de Lixo primeiro"
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_50,Text,NEW,"In the Patty Wagon job, complete the Pickles first","Dans la mission Pâté buggy, terminez les cornichons en premier",Schließe beim Burgermobil-Job die Essiggurken zuerst ab,"En el trabajo del autobúrguer, limpia primero los pepinillos.",バーガーカーの作業で、ピクルスを最初に洗浄する,패티 왜건 작업에서 피클을 제일 먼저 세척,在美味蟹堡车的工作中，先洗干净酸黄瓜。,В задании с Крабсбургеромобилем отмойте огурчики в первую очередь,在美味蟹堡車的工作中，先完成「酸黃瓜」,Köfte Arabası işinde ilk önce Turşuları tamamla,"Nel lavoro della Patty Mobile, completa prima i cetriolini","No trabalho do Carro-hambúrguer, conclua o Picles primeiro"
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_51,Text,NEW,"In the Mermalair job, complete Patrick's Identity Card first","Dans la mission Grotte de l'Homme Sirène, terminez la carte d'identité de Patrick en premier",Schließe beim Heldenhöhle-Job Patricks Personalausweis zuerst ab,"En el trabajo de la Tritocueva, limpia primero el documento de identidad de Patricio.",秘密基地の作業で、パトリックの身分証明書を最初に洗浄する,인어맨 은신처 작업에서 뚱이의 신분증을 제일 먼저 세척,在海山洞的工作中，先完成派大星的身份证。,В задании в Логове отмойте удостоверение личности Патрика в первую очередь,在海山洞的工作中，先完成「派大星的身份證」,Denizkızı İni işinde ilk önce Patrick'in Kimlik Kartını tamamla,"Nel lavoro alla Watercaverna, completa prima la carta d'identità di Patrick","No trabalho da Casa de Sereia, conclua o Cartão de Identidade de Patrick primeiro"
ACHIEVEMENT_SPONGEBOB_GROUP_DESCRIPTION,Text,NEW,The trophy set for the SpongeBob SquarePants Special Pack,L'ensemble de trophées pour le pack spécial Bob l'éponge,Das Trophäenset für das „SpongeBob Schwammkopf“-Spezial-Paket,El conjunto de trofeos del paquete especial de Bob Esponja,スポンジボブ・スクエアパンツ・スペシャルパックのトロフィーセット,네모바지 스폰지밥 스페셜 팩 트로피 세트,海绵宝宝特别组合包奖杯套装,Призы для набора «Губка Боб Квадратные Штаны»,「海綿寶寶特別組合包」獎盃套組,Sünger Bob Kare Pantolon Özel Paketiyle gelen kupa seti,Il set di trofei del pacchetto speciale SpongeBob SquarePants,O conjunto de troféus do Pacote Especial Bob Esponja Calça Quadrada
ACHIEVEMENT_SPONGEBOB_GROUP_DESCRIPTION_ALT,Text,NEW,The trophy set for the SpongeBob SquarePants Special Pack for Powerwash Simulator,L'ensemble de trophées pour le pack spécial Bob l'éponge pour PowerWash Simulator,Das Trophäenset für das SpongeBob „SpongeBob Schwammkopf“-Spezial-Paket für PowerWash Simulator,El conjunto de trofeos del paquete especial de Bob Esponja para PowerWash Simulator,PowerWash Simulatorのスポンジボブ・スクエアパンツ・スペシャルパックのトロフィーセット,PowerWash Simulator의 네모바지 스폰지밥 스페셜 팩 트로피 세트,《PowerWash Simulator》的海绵宝宝特别组合包奖杯套装,Набор призов для PowerWash Simulator: «Губка Боб Квадратные Штаны»,《PowerWash Simulator》海綿寶寶特別組合包的獎盃套組,PowerWash Simulator için Sünger Bob Kare Pantolon Özel Paketiyle gelen kupa seti,Il set di trofei del pacchetto speciale SpongeBob SquarePants di PowerWash Simulator,O conjunto de troféus do Pacote Especial Bob Esponja Calça Quadrada para Powerwash Simulator
ACHIEVEMENT_SPONGEBOB_GROUP_NAME,Text,NEW,SpongeBob SquarePants Special Pack,Pack spécial Bob l'éponge,„SpongeBob Schwammkopf“-Spezial-Paket,Paquete especial de Bob Esponja,スポンジボブ・スクエアパンツ・スペシャルパック,네모바지 스폰지밥 스페셜 팩,海绵宝宝特别组合包,Особый набор «Губка Боб Квадратные Штаны»,海綿寶寶特別組合包,Sünger Bob Kare Pantolon Özel Paketi,Pacchetto speciale SpongeBob SquarePants,Pacote Especial Bob Esponja Calça Quadrada
ACHIEVEMENT_SPONGEBOB_GROUP_NAME_ALT,Text,NEW,PowerWash Simulator: SpongeBob SquarePants Special Pack,PowerWash Simulator : Pack spécial Bob l'éponge,PowerWash Simulator: „SpongeBob Schwammkopf“-Spezial-Paket,PowerWash Simulator: paquete especial de Bob Esponja,PowerWash Simulatorのスポンジボブ・スクエアパンツ・スペシャルパック,PowerWash Simulator: 네모바지 스폰지밥 스페셜 팩,《PowerWash Simulator》：海绵宝宝特别组合包,PowerWash Simulator: Особый набор «Губка Боб Квадратные Штаны»,《PowerWash Simulator》：海綿寶寶特別組合包,PowerWash Simulator: Sünger Bob Kare Pantolon Özel Paketi,PowerWash Simulator: pacchetto speciale SpongeBob SquarePants,PowerWash Simulator: Pacote Especial Bob Esponja Calça Quadrada
ACHIEVEMENT_SPONGEBOB_NAME_42,Text,NEW,Naughty Nautical Neighbors,La zizanie,Freunde und Nachbarn,Vecinos traviesos,仲直り大作戦！,바다의 장난꾸러기 이웃,淘气的邻居,Капризные соседи,愛搗亂的鄰居,Sualtının Sulu Sakinleri,Vivaci vicini di veliero,Vizinhos Náuticos Terríveis
ACHIEVEMENT_SPONGEBOB_NAME_42_ALT,Text,NEW,Good Neighbours,Vive le dimanche,Gute Nachbarn,Buenos vecinos,良きご近所さん,좋은 이웃,好邻居,Хорошие соседи,好鄰居,İyi Komşular,Buoni vicini,Bons Vizinhos
ACHIEVEMENT_SPONGEBOB_NAME_43,Text,NEW,Squid's on a Bus,Carlo dans le bus,Thaddäus als Busfahrer,Calamardo está en un autobús,わしはバスの運転手,오징어가 타고 있어요,巴士上的章鱼,Сквидвард в автобусе,公車上的章魚,Kalamar Otobüste,Squiddy in autobus,Lula Molusco no Ônibus
ACHIEVEMENT_SPONGEBOB_NAME_43_ALT,Text,NEW,Bus is here!,Le bus est là !,Der Bus ist da!,¡El autobús ya está aquí!,バス到着！,버스가 도착했어!,巴士来了！,Пришел автобус!,公車來了！,Otobüs Geldi!,È arrivato l'autobus!,O Ônibus Já Chegou!
ACHIEVEMENT_SPONGEBOB_NAME_44,Text,NEW,Employee of the Month,L'employé du mois,Mitarbeiter des Monats,Empleado del mes,今月の頑張ったで賞,이달의 우수 직원,本月最佳员工,Лучший работник месяца,本月最佳員工,Ayın Çalışanı,Impiegato del mese,Funcionário do Mês
ACHIEVEMENT_SPONGEBOB_NAME_44_ALT,Text,NEW,Best Frenemies,La recette du lait aux algues,Beste Fr-einde,Los mejores amienemigos,仲良しライバル,친구인가 원수인가,最好的亦敌亦友,Заклятые друзья,最好的亦敵亦友,En İyi Dostmanlar,Amici nemici,Grandes Aminimigos
ACHIEVEMENT_SPONGEBOB_NAME_45,Text,NEW,Feast Your Eyes…,Attention les yeux…,Ein Fest für die Augen,Regálate los ojos...,目のごちそう,보기만 해도 군침이 도는…,大饱眼福……,Полюбуйтесь…,大飽眼福……,Gözün Doysun...,Rifatevi gli occhi...,Delicie seus Olhos...
ACHIEVEMENT_SPONGEBOB_NAME_45_ALT,Text,NEW,Step on it Patrick!,"Fonce, Patrick !","Tritt drauf, Patrick!","¡Salgamos de aquí, Patricio!",パトリック、乗って！,"밟아봐, 뚱아!",开快点派大星！,"Жми, Патрик!",開快點派大星！,Bas Gitsin Patrick!,"Sali, Patrick!",Pisa Fundo Patrick!
ACHIEVEMENT_SPONGEBOB_NAME_46,Text,NEW,It's Supposed to be Invisible!,Il était censé rester invisible !,Es soll unsichtbar sein,¡Se supone que tiene que ser invisible!,ホントは見えないはずなのに！,원래 안 보여야 하는 건데!,它应该是隐形的！,И где же невидимость?!,它應該是隱形的才對！,Görünmez Olması Gerekiyordu!,Dovrebbe essere invisibile!,Era para Ser Invisível!
ACHIEVEMENT_SPONGEBOB_NAME_46_ALT,Text,NEW,Thank goodness for Invisible seatbelts!,Heureusement qu'on avait mis nos ceintures invisibles !,Zum Glück gibt es unsichtbare Sicherheitsgurte!,¡Gracias a los cinturones invisibles!,見えないシートベスト、あってよかった！,투명 안전벨트 덕분이야!,感谢隐形安全带！,Спасибо за невидимые ремни безопасности!,感謝隱形安全帶！,İyi Ki Görünmez Emniyet Kemerleri Var!,Per fortuna ci sono le cinture invisibili!,Ainda bem que temos cintos de segurança invisíveis!
ACHIEVEMENT_SPONGEBOB_NAME_46_ALT2,Text,Below 44 characters,Jellyfish Jam,Les envahisseurs,Disco-Quallen,La fiesta de las medusas,くらげジャム,해파리 잼,水母果酱,Вечеринка медуз,水母果醬,Denizanası Reçeli,Ingorgo di meduse,Geleia de Água-viva
ACHIEVEMENT_SPONGEBOB_NAME_46_ALT3,Text,Below 44 characters,Nautical Novice,Visite au musée de la marine,Das Bootskundemuseum,Novato náutico,船乗り初心者,초보 항해자,航海新手,Непослушный ученик,航海新手,Acemi Denizci,Neofita delle navi,Novato Náutico
ACHIEVEMENT_SPONGEBOB_NAME_46_ALT4,Text,Below 44 characters,Bubble Troubles,Des bulles pimentées,Verschärfte Bläschen,Problemas burbujeantes,バブルトラブル,버블 트러블,泡泡问题,Всё дело в пузырях,泡泡危機,Belalı Baloncuk,Problemi di bolle,Problemas com Bolhas
ACHIEVEMENT_SPONGEBOB_NAME_47,Text,NEW,Mermaidman and Barnacleboy Unite!,L'Homme Sirène et le Bernard l'Ermite unissent leurs forces !,"Meerjungfraumann und Blaubarschbube, vereinigt euch!",¡Tritonman y Chico Percebe unidos!,マーメイドマンとフジツボボーイ、結託！,인어맨과 조개소년 출동!,海超人和大洋游侠发功！,"Морской Супермен и Очкарик, объединяйтесь!",海超人跟大洋遊俠發功！,Denizkızı Adam ve Midye Oğlan Birleşin!,Waterman e Supervista uniti nella lotta!,Homem Sereia e Mexilhãozinho Unidos!
ACHIEVEMENT_SPONGEBOB_NAME_47_ALT,Text,NEW,To the Mermalair!,Direction la grotte de l'Homme Sirène !,Zur Heldenhöhle!,¡A la Tritocueva!,秘密基地へ出発！,인어맨 은신처로!,去海山洞！,Летим в Логово!,去海山洞！,Denizkızı İnine!,Alla Watercaverna!,Para a Casa de Sereia!
ACHIEVEMENT_SPONGEBOB_NAME_47_XB,Text,NEW,Mermaidman and Barnacleboy Unite!,L'Homme Sirène et Bernard l'Ermite !,Meerjungfraumann und Blaubarschbube vereint!,¡Tritonman y Chico Percebe unidos!,マーメイドマンとフジツボボーイ、結託！,인어맨과 조개소년 출동!,海超人和大洋游侠发功！,"Морской Супермен и Очкарик, объединяйтесь!",海超人跟大洋遊俠發功！,Denizkızı Adam ve Midye Oğlan Birleşin!,Waterman e Supervista uniti nella lotta!,Homem Sereia e Mexilhãozinho Unidos!
ACHIEVEMENT_SPONGEBOB_NAME_48,Text,NEW,"It's not a Boulder, It's a Rock!","C'est pas un vulgaire caillou, voyons, c'est un rocher !","Das ist kein Felsbrocken, das ist ein Stein!","¡No es solo una piedra, es una roca!",石じゃない、岩だよ！,이건 암석이 아니라 바위야!,这不是大石块，这是岩石！,"Это не валун, это скала!",它不只是巨岩，它是塊石頭！,Kaya Değil Taş!,"Non è un masso, è una roccia!","Não É uma Pedra, É uma Rocha!"
ACHIEVEMENT_SPONGEBOB_NAME_48_XB,Text,NEW,"It's not a Boulder, It's a Rock!","C'est pas un caillou, c'est un rocher !","Das ist kein Felsbrocken, das ist ein Stein!","¡No es solo una piedra, es una roca!",石じゃない、岩だよ！,이건 암석이 아니라 바위야!,这不是大石块，这是岩石！,"Это не валун, это скала!",它不只是巨岩，它是塊石頭！,Kaya Değil Taş!,"Non è un masso, è una roccia!","Não É uma Pedra, É uma Rocha!"
ACHIEVEMENT_SPONGEBOB_NAME_49,Text,NEW,Bucket Sweet Bucket,Le Seau de l'enfer,Schöner neuer Abfalleimer,"Cubo, dulce cubo",いとしの我がエサバケツ亭,오 나의 양동이,甜蜜的海之霸,"Ведро, милое Ведро",整修海之霸,İnsanın Kovası Gibisi Yok,Bucket dolce Bucket,"Balde, Doce Balde"
ACHIEVEMENT_SPONGEBOB_NAME_50,Text,NEW,I've Come for Your Pickle,Je viens chercher ton cornichon,Ich komme wegen deiner Essiggurke,He venido a por tu pepinillo,ピクルス目当て,네 피클을 가지러 왔다,我来吃酸黄瓜了,Отдавай свой огурчик,我是來吃你的酸黃瓜的,Turşuna Geldim,Sono qui per i cetriolini,Eu Vim Buscar o seu Picles
ACHIEVEMENT_SPONGEBOB_NAME_51,Text,NEW,It's Not My Wallet,Ce n'est pas mon portefeuille,Es ist nicht meine Geldbörse,No es mi cartera,僕の財布じゃない,내 지갑 아닌데,不是我的钱包,Это не мой кошелек,這不是我的錢包,Bu Benim Cüzdanım Değil,Non è il mio portafoglio,Não É minha Carteira
ACHIEVEMENTSET_SPONGEBOB_DESCRIPTION,Text,NEW,The trophy set for the PowerWash Simulator SpongeBob SquarePants Special Pack,L'ensemble de trophées pour Pack spécial Bob l'éponge pour PowerWash Simulator ,Das Trophäenset für PowerWash Simulator SpongeBob Schwammkopf Spezialpaket ,El conjunto de trofeos de PowerWash Simulator - Paquete especial de Bob Esponja ,PowerWash Simulator スポンジボブ・スクエアパンツ スペシャルパック  トロフィーセット,PowerWash Simulator 스폰지밥 네모바지 스페셜 팩 트로피 세트,《PowerWash Simulator》海绵宝宝特别组合包 奖杯套装,Призы для Особого набора «Губка Боб Квадратные Штаны» для PowerWash Simulator ,《PowerWash Simulator》海綿寶寶特別組合包獎盃套組,PowerWash Simulator SpongeBob SquarePants Özel Paketi kupa seti,Il set di trofei del pacchetto speciale PowerWash Simulator SpongeBob SquarePants,O conjunto de troféus para Pacote Especial PowerWash Simulator Bob Esponja Calça Quadrada 
ACHIEVEMENTSET_SPONGEBOB_NAME,Text,NEW,PowerWash Simulator SpongeBob SquarePants Special Pack,Pack spécial Bob l'éponge pour PowerWash Simulator,PowerWash Simulator SpongeBob Schwammkopf Spezialpaket,PowerWash Simulator - Paquete especial de Bob Esponja,PowerWash Simulator スポンジボブ・スクエアパンツ スペシャルパック,PowerWash Simulator 스폰지밥 네모바지 스페셜 팩,冲就完事模拟器海绵宝宝特别组合包,Особый набор «Губка Боб Квадратные Штаны» для PowerWash Simulator,《PowerWash Simulator》海綿寶寶特別組合包,PowerWash Simulator SpongeBob SquarePants Özel Paketi,Pacchetto speciale PowerWash Simulator SpongeBob SquarePants,Pacote Especial PowerWash Simulator Bob Esponja Calça Quadrada
BUTTON_SPONGEBOB_CONTINUECAMPAIGN,Text,,Continue Campaign,Continuer la campagne,Kampagne fortsetzen,Continuar campaña,キャンペーンモードを続ける,캠페인 계속하기,继续活动,Продолжить кампанию,繼續活動,Hikâyeye Devam Et,Continua campagna,Continuar Campanha
BUTTON_SPONGEBOB_START,Text,,Start,Commencer,Starten,Iniciar,開始,시작,开始,Начать,開始,Başlat,Inizia,Iniciar
BUTTON_SPONGEBOB_STARTCAMPAIGN,Text,,Start Campaign,Commencer la campagne,Kampagne starten,Iniciar campaña,キャンペーンモードを開始,캠페인 시작,开始活动,Начать кампанию,開始活動,Hikâyeyi Başlat,Inizia campagna,Iniciar Campanha
CONTROLS_SPONGEBOB_CONCHSTREET_INTERACTPATRICKSHOUSE,Text,NEW,Open / Close Patrick's House,Ouvrir/fermer la maison de Patrick,Patricks Haus öffnen/schließen,Abrir/cerrar la casa de Patricio,パトリックの家を開く/閉める,뚱이의 집 열기/닫기,打开/关闭派大星的房子,Открыть/закрыть дом Патрика,開啟／關閉派大星的家,Patrick'in Evini Aç / Kapat,Apri/chiudi Casa di Patrick,Abrir / Fechar casa do Patrick
CONTROLS_SPONGEBOB_CONCHSTREET_INTERACTPATRICKSHOUSECLOSE,Text,NEW,Close Patrick's House,Fermer la maison de Patrick,Patricks Haus schließen,Cerrar la casa de Patricio,パトリックの家を閉める,뚱이의 집 닫기,关闭派大星的房子,Закрыть дом Патрика,關閉派大星的家,Patrick'in Evini Kapat,Chiudi Casa di Patrick,Fechar casa do Patrick
CONTROLS_SPONGEBOB_CONCHSTREET_INTERACTPATRICKSHOUSEOPEN,Text,NEW,Open Patrick's House,Ouvrir la maison de Patrick,Patricks Haus öffnen,Abrir la casa de Patricio,パトリックの家を開く,뚱이의 집 열기,打开派大星的房子,Открыть дом Патрика,開啟派大星的家,Patrick'in Evini Aç,Apri Casa di Patrick,Abrir casa do Patrick
CONTROLS_SPONGEBOB_MERMALAIR_INTERACTMONITOROFF,Text,NEW,Switch Monitor Off,Allumer le moniteur,Monitor ausschalten,Apagar el monitor,モニターをオフにする,모니터 끄기,关闭显示器,Выключить монитор,關閉顯示器,Monitörü Kapat,Spegni monitor,Desligar monitor
CONTROLS_SPONGEBOB_MERMALAIR_INTERACTMONITORON,Text,NEW,Switch Monitor On,Éteindre le moniteur,Monitor einschalten,Encender el monitor,モニターをオンにする,모니터 켜기,打开显示器,Включить монитор,開啟顯示器,Monitörü Aç,Accendi monitor,Ligar monitor
CONTROLS_SPONGEBOB_MERMALAIR_INTERACTORB,Text,NEW,Switch Orb On / Off,Allumer/éteindre l'orbe,Kugel en-/ausschalten,Encender/apagar el orbe,オーブのオン/オフを切り替える,구슬 켜기/끄기,打开/关闭球,Включить/выключить сферу,開啟／關閉寶珠,Küreyi Aç / Kapat,Attiva/disattiva sfera,Ativar / Desativar orbe
CONTROLS_SPONGEBOB_MERMALAIR_INTERACTORBOFF,Text,NEW,Switch Orb Off,Éteindre l'orbe,Kugel ausschalten,Apagar el orbe,オーブをオフにする,구슬 끄기,关闭球,Выключить сферу,關閉寶珠,Küreyi Kapat,Disattiva sfera,Desativar orbe
CONTROLS_SPONGEBOB_MERMALAIR_INTERACTORBON,Text,NEW,Switch Orb On,Allumer l'orbe,Kugel einschalten,Encender el orbe,オーブをオンにする,구슬 켜기,打开球,Включить сферу,開啟寶珠,Küreyi Aç,Attiva sfera,Ativar orbe
CONTROLS_SPONGEBOB_PATTYWAGON_INTERACTBONNET,Text,NEW,Open / Close Hood,Ouvrir/fermer le capot,Motorhaube öffnen/schließen,Abrir/cerrar el capó,ボンネットを開く/閉じる,후드 열기/닫기,打开/关闭引擎盖,Открыть/закрыть капот,開啟／關閉引擎蓋,Kaputu Aç / Kapat,Apri/chiudi cofano,Abrir / Fechar capô
CONTROLS_SPONGEBOB_PATTYWAGON_INTERACTBONNETCLOSE,Text,NEW,Close Hood,Fermer le capot,Motorhaube schließen,Cerrar el capó,ボンネットを閉じる,후드 닫기,关闭引擎盖,Закрыть капот,關閉引擎蓋,Kaputu Kapat,Chiudi cofano,Fechar capô
CONTROLS_SPONGEBOB_PATTYWAGON_INTERACTBONNETOPEN,Text,NEW,Open Hood,Ouvrir le capot,Motorhaube öffnen,Abrir el capó,ボンネットを開く,후드 열기,打开引擎盖,Открыть капот,開啟引擎蓋,Kaputu Aç,Apri cofano,Abrir capô
CUSTOMER_SPONGEBOB_BARNACLEBOY_INITIALS,Text,,BB,BE,BB,CP,BB,조,游侠,О,BB,MO,SV,M
CUSTOMER_SPONGEBOB_BARNACLEBOY_NAME,Text,NEW,Barnacleboy,Bernard l'Ermite,Blaubarschbube,Chico Percebe,フジツボボーイ,조개소년,大洋游侠,Очкарик,大洋遊俠,Midye Oğlan,Supervista,Mexilhãozinho
CUSTOMER_SPONGEBOB_MERMAIDMAN_INITIALS,Text,,MM,HS,MM,TM,MM,인,海超,МС,MM,DA,WM,HS
CUSTOMER_SPONGEBOB_MERMAIDMAN_NAME,Text,NEW,Mermaidman,Homme Sirène,Meerjungfraumann,Tritonman,マーメイドマン,인어맨,海超人,Морской Супермен,海超人,Denizkızı Adam,Waterman,Homem Sereia
CUSTOMER_SPONGEBOB_MRKRABS_INITIALS,Text,,MK,CK,MK,SC,MK,집,蟹老,МК,MK,BY,MK,SS
CUSTOMER_SPONGEBOB_MRKRABS_NAME,Text,,Mr. Krabs,Capitaine Krabs,Mr. Krabs,Señor Cangrejo,カーニさん（MK）,집게사장,蟹老板,Мистер Крабс,蟹老闆,Bay Yengeç,Mister Krabs,Sr. Sirigueijo
CUSTOMER_SPONGEBOB_PATRICKSTAR_INITIALS,Text,,PS,PÉ,PS,PE,PS,뚱,大星,ПС,PS,PY,PS,PE
CUSTOMER_SPONGEBOB_PATRICKSTAR_NAME,Text,,Patrick Star,Patrick l'étoile de mer,Patrick Star,Patricio Estrella,パトリック・スター（PS）,뚱이,派大星,Патрик Стар,派大星,Patrick Yıldız,Patrick Stella,Patrick Estrela
CUSTOMER_SPONGEBOB_PLANKTON_INITIALS,Text,,P,P,P,P,P,플,皮老,П,P,P,P,P
